Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
PARWANIPUR,911.0,B,AGROMETEOROLOGY,Bara,27.066667,84.966667,115,,1967-01-03,POINT (84.966667 27.066667)
RAMOLI BAIRIYA,912.0,B,PRECIPITATION,Routahat,27.016667,85.383333,152,1956-01-01,1971-12-03,POINT (85.383333 27.016667)
MARKHU GAUN,915.0,B,PRECIPITATION,Makwanpur,27.616667,85.15,1530,,1971-12-03,POINT (85.15 27.616667)
BIRGANJ,918.0,B,PRECIPITATION,Parsa,27.0,84.866667,91,,1974-02-03,POINT (84.866667 27)
MAKWANPUR GADHI,919.0,B,PRECIPITATION,Makwanpur,27.416667,85.166667,1030,,1974-12-03,POINT (85.166667 27.416667)
BELUWA(MANAHARI),920.0,N,PRECIPITATION,Makwanpur,27.55,84.816667,274,,1974-12-03,POINT (84.816667 27.55)
KALAIYA,921.0,B,PRECIPITATION,Bara,27.033333,85.0,140,,1976-02-03,POINT (85 27.033333)
GAUR,922.0,B,CLIMATOLOGY,Routahat,26.766667,85.3,90,,1983-03-03,POINT (85.3 26.766667)
KOLBHI,923.0,B,PRECIPITATION,Bara,26.916667,85.016667,109,1992-04-01,,POINT (85.016667 26.916667)
CHYUNTAHA,924.0,B,PRECIPITATION,Bara,26.95,85.133333,86,1992-04-01,,POINT (85.133333 26.95)
RAJAIYA,925.0,N,PRECIPITATION,Makwanpur,27.433333,84.983333,332,,1991-06-03,POINT (84.983333 27.433333)
BHARATPUR,927.0,N,CLIMATOLOGY,Chitawan,27.666667,84.433333,205,,2018-01-03,POINT (84.433333 27.666667)
TIMURE,1001.0,N,CLIMATOLOGY,Rasuwa,28.283333,85.383333,1900,1956-06-01,1971-11-03,POINT (85.383333 28.283333)
ARU GHAT D.BAZAR,1002.0,N,PRECIPITATION,Dhading,28.05,84.816667,518,1957-06-01,1971-11-03,POINT (84.816667 28.05)
