date,lat,lon,temperature_celsius,total_precip_m,snow_melt_m,large_scale_snow_melt_m,snow_runoff_m,number,expver,t2m_norm,tp_norm,smlt_norm,lblt_norm,src_norm
2025-04-09,30.9,80.19999999999999,-12.918549,0.0,0.0,276.97778,3.0398369e-05,0,0005,-1.2551689,-0.5628772,-0.26427624,-0.85104316,-0.22086363
2025-04-09,30.9,80.29999999999998,-12.809174,0.0,3.4559518e-05,276.83423,2.7447939e-05,0,0005,-1.2480611,-0.5628772,-0.24292304,-0.8729197,-0.25030074
2025-04-09,30.9,80.39999999999998,-12.670502,0.0,3.7219375e-05,276.65552,2.8014183e-05,0,0005,-1.2390492,-0.5628772,-0.2412796,-0.90015364,-0.2446512
2025-04-09,30.9,80.49999999999997,-12.820892,0.0,0.0,276.6643,2.6732683e-05,0,0005,-1.2488226,-0.5628772,-0.26427624,-0.89881426,-0.25743702
2025-04-09,30.9,80.59999999999997,-13.322845,0.0,8.21054e-05,276.69165,2.965331e-05,0,0005,-1.2814429,-0.5628772,-0.213546,-0.8946473,-0.22829725
2025-04-09,30.9,80.69999999999996,-14.05722,1.7881393e-07,0.0010281317,276.67603,2.9444695e-05,0,0005,-1.3291674,-0.5627764,0.37097296,-0.89702845,-0.23037866
2025-04-09,30.9,80.79999999999995,-14.592377,4.4703484e-07,0.003461875,276.7307,3.710389e-05,0,0005,-1.3639455,-0.56262517,1.874704,-0.8886945,-0.1539611
2025-04-09,30.9,80.89999999999995,-14.766205,5.662441e-07,0.0066241845,276.80103,3.2156706e-05,0,0005,-1.375242,-0.562558,3.8285925,-0.8779795,-0.2033203
2025-04-09,30.9,80.99999999999994,-14.725189,5.662441e-07,0.006969001,276.82837,3.170967e-05,0,0005,-1.3725765,-0.562558,4.0416436,-0.87381256,-0.20778047
2025-04-09,30.9,81.09999999999994,-14.252533,5.364418e-07,0.006410677,276.81763,2.9832125e-05,0,0005,-1.3418602,-0.5625748,3.6966732,-0.8754496,-0.22651318
2025-04-09,30.9,81.19999999999993,-13.207611,7.748604e-07,0.0076852813,276.8694,3.1620264e-05,0,0005,-1.2739542,-0.5624404,4.48421,-0.8675622,-0.2086725
2025-04-09,30.9,81.29999999999993,-12.379486,1.0430813e-06,0.0073906817,276.95044,6.1154366e-05,0,0005,-1.220137,-0.5622892,4.3021865,-0.8552101,0.08599595
2025-04-09,30.9,81.39999999999992,-12.40683,1.1920929e-07,0.006392088,276.85376,0.00013276935,0,0005,-1.221914,-0.56281,3.6851876,-0.86994326,0.80051494
2025-04-09,30.9,81.49999999999991,-12.873627,0.0,0.005003087,276.82642,0.00011587143,0,0005,-1.2522496,-0.5628772,2.8269691,-0.8741102,0.6319206
2025-04-09,30.9,81.59999999999991,-13.691986,0.0,0.0011178218,276.80786,3.9339066e-05,0,0005,-1.3054321,-0.5628772,0.42638955,-0.8769378,-0.13166027
2025-04-09,30.9,81.6999999999999,-14.029877,0.0,0.003209751,276.74536,0.00013288856,0,0005,-1.3273904,-0.5628772,1.7189248,-0.8864622,0.8017043
2025-04-09,30.9,81.7999999999999,-14.416595,0.0,0.0039056614,276.61157,0.0001347065,0,0005,-1.352522,-0.5628772,2.1489053,-0.9068505,0.8198423
2025-04-09,30.9,81.89999999999989,-15.106049,0.0,0.0042396635,276.85278,1.6212463e-05,0,0005,-1.3973273,-0.5628772,2.3552742,-0.8700921,-0.36239964
2025-04-09,30.9,81.99999999999989,-15.678314,0.0,0.0038073957,276.78833,2.4437904e-05,0,0005,-1.4345169,-0.5628772,2.08819,-0.87991416,-0.28033254
2025-04-09,30.9,82.09999999999988,-15.266205,3.993511e-06,0.003457833,276.50903,1.9401312e-05,0,0005,-1.4077353,-0.56062603,1.8722066,-0.9224766,-0.33058378
2025-04-09,30.9,82.19999999999987,-13.881439,2.169609e-05,0.0010850653,276.8401,6.1392784e-06,0,0005,-1.317744,-0.55064696,0.40615037,-0.87202674,-0.4629021
2025-04-09,30.9,82.29999999999987,-12.818939,3.385544e-05,0.000104967505,276.9641,1.3113022e-06,0,0005,-1.2486956,-0.54379267,-0.19942023,-0.85312665,-0.5110719
2025-04-09,30.9,82.39999999999986,-12.527924,3.9458275e-05,0.00011995807,276.64087,1.0728836e-06,0,0005,-1.2297835,-0.54063433,-0.19015804,-0.90238595,-0.5134507
